@relation shares

@attribute a1 numeric
@attribute a2 numeric
@attribute a3 numeric
@attribute a4 numeric
@attribute a5 numeric
@attribute a6 numeric
@attribute a7 numeric
@attribute a8 numeric
@attribute a9 numeric
@attribute a10 numeric
@attribute a11 numeric
@attribute a12 numeric
@attribute a13 numeric
@attribute a14 numeric
@attribute a15 numeric
@attribute a16 {0, 1}
@attribute a17 {0, 1}
@attribute a18 {0, 1}
@attribute a19 numeric

@data
1,0,4200,-0.429166667,149,4.543624161,-1,5943.31746,4200,0.062152778,2,5,3076.834118,0,0.033557047,0,0,0,1800
0,0,0,-0.387777778,641,4.333853354,-1,3801.773894,0,0.057078724,4,5,2638.398281,0,0.046801872,0,0,0,1300
3,0,5900,-0.210416667,272,4.352941176,-1,6082.051282,5900,0.167307692,4,7,3099.0061,0,0.058823529,0,0,0,35700
1,0,0,-0.472222222,192,4.786458333,-1,7539.442308,0,0.178623188,9,10,2202.313256,0,0.072916667,0,0,0,9100
0,0,0,-0.265277778,434,5.179723502,-1,4762.803125,0,0.19512987,9,9,2794.502,0,0.041474654,0,0,0,2200
2,0,13900,-0.6,213,4.492957746,4,4670.2,13900,0.197857143,5,9,2625.987489,0,0.042253521,0,0,0,842
1,0,2400,-0.173989899,695,4.646043165,4,3434.931384,2400,0.168980383,2,7,2623.936533,0,0.05323741,0,0,0,1000
5,1322.183544,999,-0.383333333,460,5.047826087,-1,3406.453889,1699.75,0.046717172,14,10,2267.949913,9200,0.023913043,0,0,0,879
4,3237.774666,4100,-0.383333333,797,4.624843162,-1,9715.296296,17050,0.048761621,18,8,5772.971433,17100,0.042659975,0,0,0,1000
3,1350,1000,-0.240416667,812,4.911330049,-1,4350,1600,0.038732057,18,6,2685.736945,1600,0.028325123,0,0,0,1100
0,0,0,-0.269246032,611,4.48608838,217,2672.453237,0,0.094003175,1,6,1615.194626,0,0.072013093,0,0,0,6000
5,980,773,-0.299363426,1428,4.488795518,-1,7611.083333,22568.25,0.144611664,29,10,3145.715477,1400,0.049019608,0,0,0,2600
11,2200,853,-0.291416494,966,4.390269151,-1,3511.013016,2558.833333,0.103461441,12,7,2842.824087,4100,0.043478261,0,1,0,1800
2,1465.052632,2800,-0.145,477,4.251572327,4,9165.736655,3200,0.155726381,15,6,4270.461185,4900,0.039832285,0,0,0,30400
1,979,0,-0.369128788,602,4.84551495,4,3254.546373,0,0.035648449,3,5,2139.014277,1500,0.051495017,0,1,0,872
0,0,0,-0.200378788,753,4.701195219,4,4002.034783,0,0.148603684,11,7,2603.456032,0,0.037184595,0,0,0,343
0,0,0,-0.166666667,154,4.818181818,4,5552,0,0.126488095,2,7,2910.738445,0,0.038961039,0,0,0,1700
4,2600.472749,8300,-0.25,216,4.523148148,4,5533.333333,8300,0.11453168,6,7,3888.162359,8300,0.046296296,0,0,0,2200
2,3191.705882,8100,-0.375,241,4.452282158,4,107933.3333,153250,0.216666667,9,10,15997.9464,17300,0.058091286,0,0,0,5200
4,0,718,-0.177777778,1560,4.485897436,4,3271.379184,1506,0.177978719,5,8,2099.171268,0,0.036538462,0,0,0,1200
23,3416.092785,1300,-0.288020833,928,4.617456897,4,5730.327869,8515,0.147740642,29,5,4450.549375,41600,0.042025862,0,0,0,1300
4,1995.847733,2500,-0.223968254,394,4.47715736,4,4167.751708,2500,0.082747314,7,6,3131.648148,3400,0.045685279,1,0,0,5700
29,0,474,-0.222149123,1621,4.6471314,-1,3519.735416,2240.107143,0.137670337,31,8,2419.084783,0,0.038247995,0,0,0,760
2,0,3100,-0.0875,189,4.592592593,4,3295.181332,3100,0.211309524,6,6,2367.992557,0,0.042328042,0,0,0,4800
1,2116.5,8000,-0.3,184,4.22826087,-1,3591.899749,8000,0.187412587,4,4,3091.619416,3800,0.043478261,0,1,0,1500
3,1960.04,0,-0.177306548,264,4.613636364,217,3836.681529,0,0.06778612,6,7,2536.826667,4800,0.026515152,0,0,0,1300
7,2961.126706,497,-0.301932367,1262,4.647385103,-1,5726.037037,3839.8,0.155696594,45,5,4177.036264,23700,0.047543582,0,1,0,1300
8,0,4300,-0.339384921,1097,4.619872379,-1,4534.591022,4300,0.175802178,14,9,2871.960241,0,0.041932543,0,0,0,1200
1,2639.36289,19300,-0.135416667,292,4.438356164,4,11400,19300,0.116306818,4,5,4733.249985,5600,0.037671233,0,0,0,2300
6,2326,1600,-0.161111111,393,4.51653944,-1,4085.881356,2900,0.156420431,9,8,3210.32791,4900,0.050890585,0,1,0,8600
0,0,0,-0.239609053,1361,4.678912564,4,4058,0,0.137977294,23,10,2547.187515,0,0.04188097,1,0,0,4900
1,0,2000,-0.260634921,254,5.059055118,-1,3516.446772,2000,0.01978836,3,6,1716.912259,0,0.019685039,0,0,0,2500
1,0,1600,-0.202083333,745,5.499328859,-1,3450.618727,1600,0.185218254,21,6,1485.219153,0,0.02147651,0,0,0,1000
2,1084,1600,-0.313888889,257,5.077821012,4,8480.39604,1600,0.271693122,18,7,4791.091687,1600,0.046692607,0,0,1,1500
1,0,0,-0.466666667,103,4.708737864,-1,5998.421388,0,0.142975207,1,9,4001.292827,0,0.067961165,0,0,0,1700
1,0,0,-0.161666667,108,4.638888889,217,4849.564246,0,-0.062037037,4,5,2828.125821,0,0.009259259,0,0,0,3100
4,819,942,-0.071428571,171,5.169590643,4,4285.5,954,0.130357143,5,10,2571.808138,819,0.01754386,0,0,0,974
2,0,2300,-0.294285714,113,4.96460177,-1,5936.261308,2300,0.165659341,4,7,3698.838202,0,0.061946903,0,0,1,1600
2,0,2700,0,198,4.01010101,-1,3474.158839,2700,0.164285714,2,7,1720.657167,0,0.03030303,0,0,0,1300
4,2793,8100,-0.501470588,1193,4.827326069,-1,11601,10166.66667,0.228739863,60,9,5074.988805,4600,0.048616932,0,0,0,1700
5,1374.8,1600,-0.165178571,377,4.700265252,-1,3478.593735,3150,0.166725699,5,6,2789.826038,2700,0.047745358,0,1,0,812
1,878.25,892,-0.407921811,1105,4.573755656,-1,6486,892,0.036193643,2,6,3132.846824,1100,0.03800905,1,0,0,730
0,0,0,-0.327705628,738,4.715447154,-1,6791.750999,0,0.160568814,28,9,3835.760711,0,0.054200542,0,0,0,1500
4,2644.733333,1700,-0.066666667,604,4.556291391,-1,5536.089744,1700,0.225534591,7,9,3502.743052,6500,0.059602649,0,0,0,2300
2,0,14300,-0.364015152,672,4.825892857,-1,3587.938774,14300,0.071133117,7,8,2375.607102,0,0.03125,0,0,0,3900
2,0,2000,-0.388194444,445,5.060674157,-1,3545.473809,2000,-0.041594517,6,4,2037.077829,0,0.02247191,0,0,0,2900
2,0,2800,-0.456481481,244,4.422131148,0,0,2800,-0.092305407,3,4,0,0,0.016393443,1,0,0,852
4,0,615,-0.1875,143,5.076923077,-1,8381.25,2584,0.041,15,7,4774.278268,0,0.020979021,0,0,0,3700
6,3268.102987,1400,-0.216666667,147,4.80952381,4,3913.8019,6366.666667,0.245833333,6,4,3737.264274,53100,0.034013605,0,0,0,1300
3,2509.230769,1700,-0.3,146,4.794520548,4,4059.792916,1700,0.117938312,5,10,3031.40193,6400,0.02739726,0,0,0,1100
4,1500,818,-0.316111111,306,4.735294118,4,3778.797082,1072.666667,0.037949039,16,6,2655.156474,2100,0.026143791,0,0,0,1400
2,0,1500,-0.225,295,5.030508475,217,4413.294118,2700,0.22,7,10,2179.376886,0,0.027118644,0,0,0,1800
1,1400,5200,-0.2125,183,5.409836066,4,8272.134557,5200,0.048966942,4,7,4265.886505,1400,0.027322404,0,0,0,727
1,1934.181818,1500,-0.322222222,395,4.86835443,-1,3580.317844,1500,0.093203653,11,7,2499.703592,3100,0.063291139,0,0,0,6700
3,0,735,-0.15,442,4.687782805,4,3398.137228,2045,0.125638155,8,9,2163.43726,0,0.029411765,0,1,0,844
1,0,4600,-0.228888889,208,4.788461538,-1,4180.402405,4600,-0.152592593,3,8,2598.736157,0,0,0,0,0,1200
2,2155.718954,10200,-0.166666667,348,4.715517241,217,9123.195652,10200,0.166017316,5,7,4204.628656,37400,0.031609195,0,0,0,1100
9,2707.157407,3200,-0.271590909,1502,4.78229028,-1,6902.235294,3200,0.114406124,54,8,4160.777586,37800,0.058588549,0,0,1,2700
3,1547.804469,558,-0.215277778,253,5.055335968,-1,4896.741425,1429,0.001031746,8,7,2666.053233,5100,0.011857708,0,0,0,622
4,3095.894017,1000,-0.166666667,141,4.815602837,-1,8364.333333,2700,0.073051948,6,8,5180.624419,55600,0.021276596,1,0,0,466
2,0,5000,0,143,4.426573427,4,3387.960559,5000,0.167878788,3,5,2387.6583,0,0.06993007,0,0,0,1200
3,1056.2,1900,-0.395767196,803,4.882938979,4,7699.171429,1950,-0.310911195,5,10,3506.124614,1900,0.00747198,0,0,0,1500
2,0,1200,-0.189606227,873,5.202749141,-1,3578.494241,2350,-0.000730963,7,5,1979.203602,0,0.026345934,1,0,0,1600
2,1735.142857,2100,-0.292361111,462,4.575757576,4,5137.188034,2100,0.18937799,11,10,3680.767147,3800,0.056277056,0,0,0,2300
1,0,14700,-0.23623366,2047,4.758182706,-1,3576.326436,14700,0.082870063,8,7,2182.865907,0,0.034196385,0,0,0,856
2,2384.980153,984,-0.242952675,890,4.433707865,4,3255.043667,2192,0.094151282,6,3,2799.39112,96100,0.046067416,0,0,1,885
2,3300,2900,-0.375,427,4.850117096,4,11131.28571,3550,0.306752143,43,8,5934.908342,3300,0.035128806,0,0,0,2100
1,1373.333333,5700,-0.422222222,89,4.426966292,-1,5942.756166,5700,0.192592593,3,6,3266.843835,1700,0.08988764,0,0,0,1600
0,0,0,-0.125,193,5.176165803,217,4328.222222,0,0.213461538,5,7,2147.785779,0,0.03626943,0,0,0,1400
4,2140.390244,698,-0.55,464,4.646551724,-1,3519.735416,754.6666667,0.025641026,7,5,2846.627359,42300,0.025862069,0,0,0,1800
5,3378.630318,618,-0.25162037,383,4.483028721,-1,5764.981596,10006,0.118016975,9,7,4433.234542,25700,0.044386423,0,0,0,4900
5,1200,1200,-0.23974359,1098,4.580145719,-1,4448.864865,9400,0.081272946,11,8,2489.554408,1200,0.032786885,0,0,0,977
2,3210.45,6000,-0.240277778,120,4.466666667,4,6629.360624,6000,0.118452381,3,5,4492.411046,24400,0.05,0,0,0,938
2,3190.845593,7100,0,244,5.081967213,-1,9979.688889,9750,0.531919643,15,10,6823.413856,113700,0.057377049,0,1,0,970
1,1300,2400,-0.364285714,595,5.339495798,-1,6050,2400,0.179108796,42,9,3311.328564,1300,0.031932773,0,1,0,1100
2,0,936,-0.361150794,841,4.491082045,-1,4054.452083,24118,0.042697572,32,5,2162.255011,0,0.022592152,1,0,0,21700
1,0,3000,-0.360897436,1231,4.409423233,-1,6236.453846,3000,0.100415755,14,8,3691.502981,0,0.041429732,0,0,0,3200
3,2155.244604,808,-0.446024259,1008,4.445436508,-1,5808.387149,1354,0.014259757,4,5,3462.624878,42300,0.058531746,0,0,0,978
8,2262.9375,849,-0.281818182,578,5.602076125,4,3348.593144,3409.8,-0.013459596,69,7,2704.506835,8400,0.015570934,0,0,1,1200
1,0,0,-0.141666667,234,4.491452991,4,7563.507576,0,0.250297619,3,6,4271.624949,0,0.055555556,0,0,0,1500
1,0,4100,-0.271753247,825,4.88,-1,4048.586555,4100,0.176995519,11,7,2247.372106,0,0.043636364,1,0,0,2100
2,0,2700,-0.254166667,354,4.700564972,4,7765.329305,2700,0.03295068,12,8,4299.088424,0,0.02259887,0,0,0,783
4,0,742,-0.1,402,4.870646766,217,3023.09795,2147.333333,0.177016194,4,6,1707.754337,0,0.052238806,0,0,1,2200
6,1099.4,992,-0.301146384,437,4.90389016,-1,3654.543611,1715.333333,0.063774479,6,9,2849.922766,1700,0.036613272,1,0,0,881
3,1767.653846,12100,-0.458333333,327,5.226299694,-1,3948.951389,12100,-0.045138889,43,10,2721.656519,7500,0.024464832,0,0,0,1200
5,1224.6,798,-0.207407407,203,4.083743842,4,3437.185628,1566,0.175198413,8,7,2149.473681,2700,0.039408867,0,1,0,1100
3,1200,1200,-0.21875,936,4.617521368,-1,3578.493087,1200,0.148207626,31,7,2625.040978,1200,0.03525641,0,0,0,1400
0,3142.28813,0,-0.295238095,646,4.167182663,-1,4500,0,0.202625575,8,6,3610.365752,7400,0.063467492,0,0,0,2100
6,1129.076923,1100,-0.4,312,5.144230769,-1,4654.782609,3000,0.120779221,11,7,2794.287232,3900,0.038461538,0,0,0,973
6,0,815,-0.176851852,294,4.588435374,4,6921.142857,8323,0.251623377,20,9,3865.801407,0,0.057823129,0,0,0,4600
2,0,781,-0.162996032,490,4.704081633,-1,3582.221409,1240.5,0.215026154,3,7,1867.154805,0,0.042857143,0,0,0,979
2,0,4800,-0.191666667,394,4.096446701,4,3253.347547,4800,0.072582973,2,9,1470.503229,0,0.04822335,0,0,0,5300
2,0,2500,-0.209444444,239,4.79497908,4,4273.09531,2500,0.118818392,4,6,2554.920121,0,0.041841004,0,0,0,875
4,1094.701031,4200,0,114,4.535087719,4,3777.802484,4200,0.335795455,6,10,2364.510122,2500,0.061403509,0,0,0,442
0,1315,0,-0.276870748,500,5.15,4,3271.379184,0,0.169477137,8,10,2383.422207,8000,0.032,0,0,0,735
1,2419.472414,2100,-0.291666667,130,4.707692308,-1,8296.635171,2100,0.171153846,6,6,4183.881437,27300,0.053846154,0,0,0,1800
1,0,2800,-0.1375,333,5.402402402,4,4414.26087,2800,0.063095238,2,6,2393.972858,0,0.021021021,1,0,0,1900
2,2063.342857,6500,-0.425,339,4.483775811,217,9709.190476,6500,0.052727273,9,8,4723.862814,6500,0.032448378,1,0,0,1800
3,0,2300,-0.265986395,659,4.877086495,4,4315.375178,3600,0.068610162,24,9,2477.094864,0,0.025796662,0,0,0,50200
21,2476.789178,2800,-0.125,396,4.994949495,-1,4596.347334,6966.666667,0.06472154,22,8,3239.839534,9900,0.075757576,0,0,0,2600
7,0,1100,-0.346153846,588,4.906462585,-1,4216.605263,6833.333333,0.040104895,15,10,2695.290567,0,0.040816327,0,0,0,3000
3,776.75,452,-0.216990741,1070,5.011214953,-1,3443.120085,726,0.050002806,5,9,1982.31093,1200,0.035514019,0,0,0,823
2,1100,1600,-0.40625,286,4.20979021,-1,3578.12199,6500,0.333680556,3,6,2431.352872,1100,0.052447552,1,0,0,557
0,0,0,-0.260592869,3547,4.614885819,-1,3530.021134,0,0.057045665,24,9,1701.626018,0,0.028192839,0,0,0,1400
1,0,964,-0.4,145,4.462068966,-1,3877.453602,964,0.071428571,2,6,2575.9175,0,0.034482759,0,0,0,1100
3,0,1000,-0.161681548,515,4.770873786,-1,3575.682508,2866.666667,0.081522817,5,9,1969.68009,0,0.019417476,0,1,0,736
2,1332.833333,1500,-0.2125,281,4.782918149,-1,3483.53814,1500,0.045634921,9,4,2345.078807,3100,0.021352313,0,0,0,758
1,0,12300,0,118,4.576271186,-1,7153.587146,12300,0.465909091,3,9,3901.495503,0,0.059322034,0,0,0,349
0,2142.768158,0,-0.234358466,1669,4.652486519,-1,5528.976471,0,0.140238727,5,6,3362.156088,18500,0.062312762,0,1,0,936
5,2855.269091,985,-0.384848485,932,4.370171674,-1,5724.386753,1042.5,0.157782828,5,5,4124.76598,210300,0.060085837,0,0,0,947
3,0,9700,-0.520833333,306,5.526143791,4,8186.561644,9700,0.074558081,26,8,3991.698739,0,0.016339869,0,1,0,1600
3,0,5900,-0.275694444,531,4.519774011,4,3708.611111,5900,0.101318994,5,10,2118.270331,0,0.04519774,0,1,0,1400
2,0,585,-0.138888889,109,3.917431193,217,2714.087571,992.5,0.028666667,3,8,1322.308801,0,0.018348624,1,0,0,756
1,0,954,-0.333333333,452,4.986725664,4,5059,954,0.187437343,4,7,2688.989334,0,0.055309735,0,0,0,417
1,0,1400,-0.29484127,229,4.855895197,4,8941.786885,1400,0.10996732,7,9,3289.664671,0,0.030567686,0,1,0,821
0,0,0,-0.249166667,784,4.974489796,4,3942.368522,0,0.118300702,8,6,2114.879176,0,0.044642857,0,1,0,664
6,0,0,-0.126851852,522,4.505747126,217,3947.311538,0,0.215612323,11,5,2705.568591,0,0.078544061,0,0,0,10400
5,0,660,-0.55,277,4.339350181,4,3310.261645,857.6666667,0.144128788,6,7,1949.388972,0,0.054151625,0,0,0,743
3,3124.075,2400,-0.395454545,1002,4.47005988,-1,7366.989939,2400,0.095339714,17,10,4658.629435,7900,0.047904192,0,1,0,833
3,1046.333333,6000,-0.385416667,302,4.440397351,-1,6986.65625,6000,0.220679012,5,7,3399.099923,1600,0.069536424,0,0,0,773
10,1399.094891,419,-0.230769231,1082,4.452865065,4,3753.507825,1069.571429,0.186858004,18,6,2752.788034,16300,0.06284658,0,0,0,1300
1,0,6300,-0.125,281,5.128113879,4,3302.645999,6300,0.056107955,3,6,1980.656304,0,0.021352313,0,0,0,614
10,1414.117647,854,-0.243632479,1331,4.532682194,217,4578.418312,3394.25,0.234180512,41,5,2848.103862,10200,0.066115702,0,0,0,1000
6,830,1700,-0.231060606,598,4.852842809,4,3286.70569,1800,-0.00280303,12,10,2132.789366,830,0.02173913,0,0,0,717
5,3360.586957,796,-0.166666667,234,4.803418803,-1,7441.743397,2198.666667,0.39047619,15,7,5381.932901,10500,0.025641026,0,1,0,13600
2,2815.457143,2300,-0.384722222,416,4.560096154,4,10891.25301,2300,-0.014583333,22,6,5091.805307,17900,0.024038462,0,0,0,13400
2,2973.431894,4700,-0.433333333,356,4.924157303,-1,6741.944444,31400,0.095138889,20,7,4496.00477,36100,0.042134831,0,0,1,1500
5,0,847,-0.169331066,228,4.640350877,4,4050,2136.75,0.124515762,6,9,1782.209659,0,0.057017544,0,0,0,95
4,3538,2100,-0.300119048,368,4.453804348,-1,7623.443392,12450,0.04911152,4,6,5118.140883,6900,0.035326087,0,0,0,1400
5,849.952381,0,-0.25,509,4.893909627,4,4101.132492,0,0.283537759,18,10,2325.184819,1400,0.072691552,0,0,0,783
3,0,4500,-0.260385523,1680,4.686309524,-1,7320.264729,14100,0.119940283,27,10,4168.929799,0,0.0375,0,0,0,1500
7,1619.129412,1400,-0.302843915,1415,4.457243816,4,3261.734017,3900,0.114107026,10,8,2376.34635,5500,0.050883392,0,1,0,2600
7,0,731,-0.246428571,532,4.436090226,4,8400,5427,0.154410465,13,10,2388.242882,0,0.046992481,0,0,0,510
3,0,2500,-0.213888889,886,4.174943567,-1,4692.33435,3300,0.103471528,5,9,3229.890546,0,0.033860045,0,0,0,1100
4,619.0666667,1200,-0.242857143,619,4.959612278,-1,3526.21726,1650,0.119227273,19,10,2082.433098,1200,0.035541195,0,0,0,4400
2,0,19100,-0.113636364,503,4.737574553,4,6814.333333,36000,0.154470618,5,7,3137.78889,0,0.045725646,0,0,0,1600
1,2540.060274,1300,-0.379955808,1302,4.387864823,4,4455.731534,1300,0.123344499,19,6,3524.931378,67500,0.062980031,1,0,0,3400
0,0,0,-0.140277778,666,4.484984985,4,3910.333333,0,0.090722854,10,10,1677.826709,0,0.025525526,0,0,0,745
4,953,1500,-0.3125,167,5.155688623,-1,7257.775431,1700,0.246428571,20,7,4428.381711,953,0.023952096,0,0,0,1200
1,0,0,-0.3125,690,5.191304348,4,4089.572414,0,0.249721667,17,6,2502.309498,0,0.079710145,0,0,0,698
1,2860.409836,1100,-0.475,406,4.778325123,-1,3786.056333,1100,0.20295928,10,5,3372.037217,26200,0.041871921,1,0,0,1000
3,2053.25,640,-0.197777778,438,4.378995434,-1,4133,640,0.066484848,5,8,3118.719983,4300,0.052511416,0,0,0,724
1,1700,2200,-0.466666667,47,4.872340426,-1,4554.536232,2200,-0.341666667,2,4,3419.872276,1700,0.021276596,0,0,0,959
3,1800,1300,-0.279551282,251,4.669322709,-1,14371.56522,9700,0.052757659,26,10,6275.31996,1800,0.023904382,0,0,0,822
0,0,0,-0.354166667,200,4.645,4,5302.378923,0,0.180396825,1,6,3302.480654,0,0.05,0,0,0,1600
3,2362.111111,975,-0.159027778,152,4.638157895,-1,3574.798112,975,0.106712963,6,10,2905.500325,2400,0.039473684,1,0,0,1200
2,1574.909091,1400,-0.336984127,483,4.600414079,-1,4131.933121,1400,-0.001661706,7,8,2869.629394,3700,0.01863354,0,0,1,2200
8,1092.142857,1300,-0.2,425,5.171764706,-1,4745.429363,7514.285714,0.041254941,39,7,2769.15992,2500,0.016470588,0,1,0,732
3,0,1600,-0.345350242,1305,4.409195402,-1,4127.125209,34600,0.130549476,19,8,2576.747374,0,0.051340996,0,0,1,2200
0,1919.305737,0,-0.201388889,480,5.4375,4,3933.177419,0,0.081271044,10,10,2797.391359,5400,0.047916667,0,1,0,1700
9,2497.505208,738,-0.335995755,1628,4.58046683,-1,3549.218073,4062.125,0.052129454,21,5,2948.485397,20700,0.035626536,0,0,1,1100
1,0,0,-0.5,306,5.199346405,4,7411.301802,0,0.203977273,17,7,4113.226577,0,0.019607843,0,0,0,4600
7,1374.040359,390,-0.202678571,1110,4.946846847,-1,3575.718966,838.1428571,0.145471763,25,8,2319.708367,14000,0.031531532,0,1,0,701
0,924,0,-0.09047619,262,4.908396947,-1,3386.961457,0,0.128689123,4,5,2488.980898,924,0.030534351,0,1,0,1900
4,0,828,-0.289473684,793,4.442622951,-1,4467.262673,1332,0.006086729,8,10,2313.582145,0,0.027742749,0,0,1,1300
2,3108.06108,840,-0.27010582,1393,4.825556353,-1,3842.732807,1220,0.12812106,15,5,3530.959783,24500,0.045944006,1,0,0,1400
1,0,5700,-0.5,122,4.62295082,4,5206.142173,5700,0.054761905,1,6,2241.760958,0,0.024590164,0,0,0,17800
1,2204.565217,0,0,55,4.509090909,4,5136.929533,0,0.24,3,8,3335.706289,9800,0.090909091,0,0,1,1400
3,1378.462069,1300,-0.322135417,563,4.774422735,-1,3591.844668,8150,0.047825235,7,4,2926.895707,7900,0.042628774,0,0,0,1500
2,0,5100,-0.344444444,537,4.359404097,-1,14129.17857,6800,0.1654807,2,8,4163.634092,0,0.05027933,1,0,0,12200
7,0,737,-0.210185185,982,4.66904277,-1,3517.727146,1262.333333,0.091742424,7,8,2330.29929,0,0.026476578,1,0,0,737
3,1821.65,2000,-0.166666667,156,4.384615385,4,3915.5,2250,0.326190476,3,5,3121.050185,6100,0.038461538,0,0,0,2500
3,0,674,-0.335416667,611,4.137479542,-1,4650.189345,1387,0.135273369,5,7,1781.366405,0,0.027823241,0,0,0,874
1,1100,0,-0.161111111,252,4.880952381,4,3413.881939,0,0.140849489,3,5,2732.87321,1100,0.051587302,0,1,0,1100
2,705,12200,-0.246759259,411,4.593673966,-1,4609.657088,12200,0.236038012,3,5,2977.891765,705,0.055961071,0,0,0,4400
0,3289.644151,0,-0.218333333,462,4.803030303,4,3289.644151,0,0.103634871,10,1,3289.644151,843300,0.025974026,0,0,0,3400
1,1781.5,2700,-0.239583333,427,4.538641686,-1,3578.200508,2700,0.185933196,9,6,2997.981164,2700,0.028103044,0,0,0,1200
5,3329.921123,1400,-0.39375,186,4.913978495,-1,5709.82271,1950,-0.119444444,6,4,4020.607639,663600,0.005376344,0,0,0,1300
1,1403.25,1900,-0.205555556,141,5.092198582,-1,6133,1900,0.032261905,3,6,3111.534734,2800,0.021276596,0,0,0,802
4,3031.967136,1800,-0.216203704,590,4.725423729,4,5389.77694,4200,0.264252601,14,7,3969.095996,53100,0.069491525,0,0,0,2600
5,667,667,-0.212179487,495,4.567676768,4,6310.153976,1916.75,0.084201594,18,8,3657.78622,667,0.042424242,0,0,0,774
1,0,1300,-0.1,77,4.766233766,4,14450,1300,0.19375,3,10,3240.022216,0,0.025974026,1,0,0,901
4,1721.461538,9400,-1,133,4.458646617,4,4860.479828,9400,0.0125,6,5,3054.745896,11600,0.022556391,0,0,0,986
2,3414.303214,1100,-0.166111111,301,4.717607973,4,3964.270588,1100,0.255172062,6,3,3735.601695,57600,0.053156146,1,0,0,1300
2,0,790,-0.178571429,337,4.753709199,-1,5975.76,790,0.244976551,4,6,3864.001559,0,0.071216617,0,1,0,905
5,0,1000,-0.232142857,770,4.48961039,4,3500.516129,2733.333333,0.13128333,8,10,2241.564792,0,0.053246753,0,0,0,562
5,1037.75,1500,-0.625,269,4.728624535,4,3764.0625,1700,-0.009166667,6,7,2527.630048,1500,0.040892193,1,0,0,701
5,1957.984039,2000,-0.179166667,271,5.125461255,-1,3788.225209,3600,0.086363636,12,7,2933.325153,11400,0.025830258,0,0,1,4000
